Front	Back	Tags
LLA required for IPv6	Every IPv6 interface MUST have a link-local. Used for NDP, routing protocol hellos, next-hop entries. <br><br><span style="color:#888">1.9.a.4 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.a weight_high
GUA structure	Global Routing Prefix (from ISP, ~/48) + Subnet ID (~16 bits) + Interface ID (64 bits). <br><br><span style="color:#888">1.9.a.5 · weight: med</span>	ccna domain1 topic1.9 subtopic1.9.a weight_med
Quick prefix recognition	2 or 3 → GUA. FD → ULA. FE80 → LLA. FF → multicast. Drill to instant recognition. <br><br><span style="color:#888">1.9.a.6 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.a weight_high
Anycast	Same address on multiple devices. Routing delivers to the nearest. One-to-one-of-many. <br><br><span style="color:#888">1.9.b.1 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.b weight_high
Anycast has no special prefix	Syntactically identical to unicast. The distinction is deployment, not format. <br><br><span style="color:#888">1.9.b.2 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.b weight_high
Anycast use cases	DNS root servers, CDN POPs, load balancing, redundancy. 8.8.8.8 is an anycast in IPv4 too. <br><br><span style="color:#888">1.9.b.3 · weight: med</span>	ccna domain1 topic1.9 subtopic1.9.b weight_med
Cisco anycast command	'ipv6 address [addr]/128 anycast' on interface. Typically /128 so exact address is advertised. <br><br><span style="color:#888">1.9.b.4 · weight: med</span>	ccna domain1 topic1.9 subtopic1.9.b weight_med
Subnet-Router Anycast	Address with all host bits = 0 in a /64. All routers on that subnet auto-respond. <br><br><span style="color:#888">1.9.b.5 · weight: low</span>	ccna domain1 topic1.9 subtopic1.9.b weight_low
IPv6 multicast prefix	FF00::/8. Any address starting with FF. Replaces IPv4 broadcast (which does not exist in IPv6). <br><br><span style="color:#888">1.9.c.1 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.c weight_high
Multicast scope values	1=interface, 2=link, 5=site, 8=organization, E=global. FF02 means link-local scope. <br><br><span style="color:#888">1.9.c.2 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.c weight_high
FF02::1 (all nodes)	All IPv6 nodes on the local link. Used by RAs. Closest equivalent to IPv4 broadcast. <br><br><span style="color:#888">1.9.c.3 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.c weight_high
FF02::2 (all routers)	All IPv6 routers on the local link. Used by RS messages. <br><br><span style="color:#888">1.9.c.4 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.c weight_high
FF02::5 (OSPF routers)	All OSPFv3 routers on the link. IPv6 equivalent of 224.0.0.5. <br><br><span style="color:#888">1.9.c.5 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.c weight_high
FF02::A (EIGRP routers)	All EIGRP for IPv6 routers on the link. <br><br><span style="color:#888">1.9.c.6 · weight: med</span>	ccna domain1 topic1.9 subtopic1.9.c weight_med
Solicited-node multicast	FF02::1:FFxx:xxxx. xx:xxxx = last 24 bits of a unicast. One solicited-node group per interface address. <br><br><span style="color:#888">1.9.c.7 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.c weight_high
Modified EUI-64	Method to generate 64-bit interface ID from 48-bit MAC. Used in SLAAC. Steps: Split, Stuff, Flip. <br><br><span style="color:#888">1.9.d.1 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.d weight_high
Step 1: Split MAC	Divide 48-bit MAC into two 24-bit halves (OUI + device ID). <br><br><span style="color:#888">1.9.d.2 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.d weight_high
Step 2: Stuff FFFE	Insert FF:FE between the two halves. Expands to 64 bits. Signature of EUI-64. <br><br><span style="color:#888">1.9.d.3 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.d weight_high
Step 3: Flip 7th bit	XOR first byte with 0x02. U/L bit toggle. 00→02, 02→00, AA→A8, etc. <br><br><span style="color:#888">1.9.d.4 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.d weight_high
EUI-64 example	MAC 00:1A:2B:3C:4D:5E → 021A:2BFF:FE3C:4D5E. First byte 00 flipped to 02. <br><br><span style="color:#888">1.9.d.5 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.d weight_high
Privacy extensions (RFC 7217)	Modern alternative to EUI-64. Random interface ID prevents MAC-based tracking. Default on Windows/macOS/iOS/Android. <br><br><span style="color:#888">1.9.d.6 · weight: med</span>	ccna domain1 topic1.9 subtopic1.9.d weight_med
ipconfig	Windows command. Shows IP, mask, and gateway for each adapter. Quick connectivity check. <br><br><span style="color:#888">1.10.a.1 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.a weight_high
ipconfig /all	Full details: MAC, DHCP status, DHCP server, lease times, DNS servers, DNS suffix. <br><br><span style="color:#888">1.10.a.2 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.a weight_high
ipconfig /release	Sends DHCP Release. Drops current lease, interface IP becomes 0.0.0.0. <br><br><span style="color:#888">1.10.a.3 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.a weight_high
ipconfig /renew	Triggers full DHCP DORA. Obtains a new lease. <br><br><span style="color:#888">1.10.a.4 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.a weight_high
ipconfig /flushdns	Clears the local Windows DNS resolver cache. <br><br><span style="color:#888">1.10.a.5 · weight: med</span>	ccna domain1 topic1.10 subtopic1.10.a weight_med
ipconfig is Windows-only	Does NOT exist on Linux or macOS. Identifying ipconfig output → Windows. <br><br><span style="color:#888">1.10.a.6 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.a weight_high
ip addr (ip a)	Modern Linux command. Shows all interfaces, IPv4/IPv6 addresses in CIDR, MAC, state. <br><br><span style="color:#888">1.10.b.1 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.b weight_high
ip route (ip r)	Linux routing table. 'default via [IP] dev [iface]' = the default gateway. <br><br><span style="color:#888">1.10.b.2 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.b weight_high
ifconfig (Linux legacy)	Deprecated on modern Linux distros. Part of net-tools package. 'ip addr' replaces it. <br><br><span style="color:#888">1.10.b.3 · weight: med</span>	ccna domain1 topic1.10 subtopic1.10.b weight_med
ss (socket statistics)	Replaces netstat on modern Linux. 'ss -tuln' = TCP/UDP listening ports. <br><br><span style="color:#888">1.10.b.4 · weight: low</span>	ccna domain1 topic1.10 subtopic1.10.b weight_low
Linux interface names	eth0, ens33, wlan0, etc. Different from Windows. Helps identify OS from output. <br><br><span style="color:#888">1.10.b.5 · weight: med</span>	ccna domain1 topic1.10 subtopic1.10.b weight_med
macOS uses ifconfig	macOS retained the BSD-era ifconfig. Different from modern Linux which moved to 'ip addr'. <br><br><span style="color:#888">1.10.c.1 · weight: med</span>	ccna domain1 topic1.10 subtopic1.10.c weight_med
macOS interfaces (en0/lo0)	en0 = primary Ethernet/Wi-Fi, en1 = secondary, lo0 = loopback. <br><br><span style="color:#888">1.10.c.2 · weight: low</span>	ccna domain1 topic1.10 subtopic1.10.c weight_low
networksetup	Apple-specific CLI. 'networksetup -getinfo Wi-Fi' shows IP, mask, router, DNS cleanly. <br><br><span style="color:#888">1.10.c.3 · weight: low</span>	ccna domain1 topic1.10 subtopic1.10.c weight_low
OS command triangle	Windows = ipconfig, Linux = ip addr, macOS = ifconfig. Quickly identifies the OS from output. <br><br><span style="color:#888">1.10.c.4 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.c weight_high
tracert vs traceroute	Windows uses 'tracert' (ICMP). Linux/macOS use 'traceroute' (UDP by default). <br><br><span style="color:#888">1.10.c.5 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.c weight_high
Four critical IP parameters	IP address, subnet mask, default gateway, DNS. Missing or wrong = specific symptoms. <br><br><span style="color:#888">1.10.d.1 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.d weight_high
APIPA symptom	169.254.x.x address on host = DHCP server unreachable. Classic exam answer. <br><br><span style="color:#888">1.10.d.2 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.d weight_high
Wrong subnet mask symptom	Some hosts reachable, others not. Boundary confusion — thinks remote is local or vice versa. <br><br><span style="color:#888">1.10.d.3 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.d weight_high
Missing gateway symptom	Local pings succeed, remote pings fail. Host can reach its own subnet only. <br><br><span style="color:#888">1.10.d.4 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.d weight_high
Wrong DNS symptom	ping 8.8.8.8 works, ping google.com fails. 'Internet is down' complaint, but really DNS. <br><br><span style="color:#888">1.10.d.5 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.d weight_high
IP addressing mismatch	Host in wrong subnet (10.0.1.x vs 10.0.2.x). Usually wrong VLAN or DHCP scope. <br><br><span style="color:#888">1.10.d.6 · weight: med</span>	ccna domain1 topic1.10 subtopic1.10.d weight_med
ping	ICMP Echo Request/Reply. Tests L3 reachability. !!!!! = success, ..... = fail, U = unreachable. <br><br><span style="color:#888">1.10.e.1 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.e weight_high
traceroute / tracert	Hop-by-hop path. Shows each router's IP and RTT. Identifies where packets drop. <br><br><span style="color:#888">1.10.e.2 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.e weight_high
nslookup	DNS lookup. Queries configured DNS server. Works on Windows, Linux, macOS. <br><br><span style="color:#888">1.10.e.3 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.e weight_high
dig	Linux/macOS DNS tool. More detailed output than nslookup: TTL, authoritative answers, query time. <br><br><span style="color:#888">1.10.e.4 · weight: med</span>	ccna domain1 topic1.10 subtopic1.10.e weight_med
pathping (Windows)	Combines ping + traceroute. Sends 100 pings per hop to calculate loss. Identifies intermittent issues. <br><br><span style="color:#888">1.10.e.5 · weight: low</span>	ccna domain1 topic1.10 subtopic1.10.e weight_low
Troubleshooting ladder	(1) ping 127.0.0.1 (stack) (2) own IP (NIC) (3) gateway (local) (4) remote IP (routing) (5) hostname (DNS). <br><br><span style="color:#888">1.10.e.6 · weight: high</span>	ccna domain1 topic1.10 subtopic1.10.e weight_high
2.4 GHz channels 1, 6, 11	Only three non-overlapping 2.4 GHz channels in US. Each 22 MHz wide, spaced 5 MHz apart. <br><br><span style="color:#888">1.11.a.1 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.a weight_high
5 GHz non-overlapping	24+ non-overlapping 20 MHz channels. Far less co-channel interference than 2.4 GHz. <br><br><span style="color:#888">1.11.a.2 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.a weight_high
5 GHz channel bonding	20, 40, 80, 160 MHz widths. Wider = more throughput but fewer non-overlapping channels. <br><br><span style="color:#888">1.11.a.3 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.a weight_med
Co-channel interference (CCI)	Two APs on the SAME channel. They share airtime, halving effective throughput. <br><br><span style="color:#888">1.11.a.4 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.a weight_high
Adjacent-channel interference (ACI)	Two APs on OVERLAPPING channels (e.g., 1 and 3). Worse than CCI — signals corrupt each other. <br><br><span style="color:#888">1.11.a.5 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.a weight_high
Honeycomb channel plan	Adjacent APs get different non-overlapping channels in a 1-6-11 pattern (2.4 GHz). <br><br><span style="color:#888">1.11.a.6 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.a weight_med
2.4 GHz interference sources	Microwaves (~2.45 GHz), Bluetooth, baby monitors, cordless phones. Why 5 GHz is cleaner. <br><br><span style="color:#888">1.11.a.7 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.a weight_med
RRM (Radio Resource Management)	Cisco WLC auto-assigns channels and transmit power across APs to minimize interference. <br><br><span style="color:#888">1.11.a.8 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.a weight_med
SSID	Service Set Identifier. Human-readable network name. Broadcast in beacon frames every ~100ms. <br><br><span style="color:#888">1.11.b.1 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.b weight_high
BSSID	Basic Service Set Identifier. MAC address of the AP's radio. Uniquely identifies one AP radio. <br><br><span style="color:#888">1.11.b.2 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.b weight_high
BSS	Basic Service Set. One AP + its associated clients. A single RF cell. <br><br><span style="color:#888">1.11.b.3 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.b weight_high
ESS	Extended Service Set. Multiple APs sharing the same SSID. Enables seamless roaming. <br><br><span style="color:#888">1.11.b.4 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.b weight_high
Beacon frame	AP announcement sent periodically (~100ms). Contains SSID, supported rates, capabilities. <br><br><span style="color:#888">1.11.b.5 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.b weight_med
Multiple SSIDs per AP	One AP can broadcast many SSIDs, each mapped to a different VLAN/policy (corp, guest, IoT). <br><br><span style="color:#888">1.11.b.6 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.b weight_high
Hidden SSID != security	Suppressing SSID in beacons does NOT secure anything. Probe/association frames still expose it. <br><br><span style="color:#888">1.11.b.7 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.b weight_high
2.4 GHz vs 5 GHz tradeoff	2.4 GHz = better range/wall penetration, more interference. 5 GHz = faster, more channels, shorter range. <br><br><span style="color:#888">1.11.c.1 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.c weight_high
dBm scale	-30=excellent, -50=good, -60=OK, -70=weak minimum, -80=very weak, -90=unusable. Negative, closer to 0 = stronger. <br><br><span style="color:#888">1.11.c.2 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.c weight_high
3 dB rule	+3 dB = 2× power. +10 dB ≈ 10× power. Logarithmic. <br><br><span style="color:#888">1.11.c.3 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.c weight_med
SNR (Signal-to-Noise Ratio)	Signal strength minus noise floor in dB. ≥20 dB minimum, ≥25 dB ideal. <br><br><span style="color:#888">1.11.c.4 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.c weight_med
802.11n / Wi-Fi 4	2.4 + 5 GHz, up to 600 Mbps. Introduced MIMO (multiple antennas). <br><br><span style="color:#888">1.11.c.5 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.c weight_high
802.11ac / Wi-Fi 5	5 GHz only, up to 6.9 Gbps. Introduced MU-MIMO (multi-user MIMO). <br><br><span style="color:#888">1.11.c.6 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.c weight_high
802.11ax / Wi-Fi 6	2.4 + 5 GHz, up to 9.6 Gbps. Introduced OFDMA and BSS coloring. <br><br><span style="color:#888">1.11.c.7 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.c weight_high
Wi-Fi 6E	Extends Wi-Fi 6 to the 6 GHz band for additional clean spectrum. <br><br><span style="color:#888">1.11.c.8 · weight: med</span>	ccna domain1 topic1.11 subtopic1.11.c weight_med
WEP	Wired Equivalent Privacy. RC4 cipher, static keys. BROKEN. Never use. <br><br><span style="color:#888">1.11.d.1 · weight: high</span>	ccna domain1 topic1.11 subtopic1.11.d weight_high
